    { pool=1, name="+1 Сила", min=1, max=20 },
    { pool=1, name="+2 Сила", min=10, max=30 },
    { pool=1, name="+3 Сила", min=20, max=40 },
    { pool=1, name="+1 Ловкость", min=1, max=20 },
    { pool=1, name="+2 Ловкость", min=10, max=30 },
    { pool=1, name="+3 Ловкость", min=20, max=40 },
    { pool=1, name="+4 Ловкость", min=30, max=50 },
    { pool=1, name="+5 Ловкость", min=40, max=60 },
    { pool=1, name="+6 Ловкость", min=50, max=70 },
    { pool=1, name="+7 Ловкость", min=60, max=80 },
    { pool=1, name="+4 Сила", min=30, max=50 },
    { pool=1, name="+5 Сила", min=40, max=60 },
    { pool=1, name="+6 Сила", min=50, max=70 },
    { pool=1, name="+7 Сила", min=60, max=80 },
    { pool=1, name="+40 Ловкость", min=194, max=315, mask=351535086 },
    { pool=1, name="+45 Сила", min=207, max=330, mask=351535086 },
    { pool=1, name="+46 Сила", min=221, max=345, mask=351535086 },
    { pool=1, name="+45 Ловкость", min=207, max=330, mask=351535086 },
    { pool=1, name="+46 Ловкость", min=221, max=345, mask=351535086 },
    { pool=1, name="+2 Сила атаки", min=1, max=66, mask=351535086 },
    { pool=1, name="+2 Сила атаки", min=1, max=66, mask=351535086 },
    { pool=1, name="+4 Сила атаки", min=1, max=85, mask=351535086 },
    { pool=1, name="+4 Сила атаки", min=1, max=120, mask=351535086 },
    { pool=1, name="+6 Сила атаки", min=10, max=125, mask=351535086 },
    { pool=1, name="+6 Сила атаки", min=10, max=125, mask=351535086 },
    { pool=1, name="+8 Сила атаки", min=10, max=125, mask=351535086 },
    { pool=1, name="+8 Сила атаки", min=10, max=125, mask=351535086 },
    { pool=1, name="+10 Сила атаки", min=25, max=115, mask=351535086 },
    { pool=1, name="+10 Сила атаки", min=20, max=135, mask=351535086 },
    { pool=1, name="+12 Сила атаки", min=34, max=125, mask=351535086 },
    { pool=1, name="+12 Сила атаки", min=34, max=155, mask=351535086 },
    { pool=1, name="+14 Сила атаки", min=44, max=135, mask=351535086 },
    { pool=1, name="+14 Сила атаки", min=44, max=155, mask=351535086 },
    { pool=1, name="+16 Сила атаки", min=50, max=145, mask=351535086 },
    { pool=1, name="+16 Сила атаки", min=50, max=175, mask=351535086 },
    { pool=1, name="+18 Сила атаки", min=53, max=155, mask=351535086 },
    { pool=1, name="+18 Сила атаки", min=80, max=175, mask=351535086 },
    { pool=1, name="+20 Сила атаки", min=61, max=165, mask=351535086 },
    { pool=1, name="+20 Сила атаки", min=90, max=165, mask=351535086 },
    { pool=1, name="+22 Сила атаки", min=71, max=175, mask=351535086 },
    { pool=1, name="+22 Сила атаки", min=100, max=175, mask=351535086 },
    { pool=1, name="+24 Сила атаки", min=80, max=185, mask=351535086 },
    { pool=1, name="+24 Сила атаки", min=110, max=213, mask=351535086 },
    { pool=1, name="+26 Сила атаки", min=88, max=195, mask=351535086 },
    { pool=1, name="+26 Сила атаки", min=120, max=213, mask=351535086 },
    { pool=1, name="+28 Сила атаки", min=97, max=205, mask=351535086 },
    { pool=1, name="+28 Сила атаки", min=130, max=240, mask=351535086 },
    { pool=1, name="+30 Сила атаки", min=106, max=215, mask=351535086 },
    { pool=1, name="+30 Сила атаки", min=140, max=215, mask=351535086 },
    { pool=1, name="+32 Сила атаки", min=115, max=225, mask=351535086 },
    { pool=1, name="+32 Сила атаки", min=120, max=245, mask=351535086 },
    { pool=1, name="+36 Сила атаки", min=128, max=240, mask=351535086 },
    { pool=1, name="+36 Сила атаки", min=135, max=255, mask=351535086 },
    { pool=1, name="+42 Сила атаки", min=141, max=255, mask=351535086 },
    { pool=1, name="+42 Сила атаки", min=141, max=255, mask=351535086 },
    { pool=1, name="+50 Сила атаки", min=155, max=270, mask=351535086 },
    { pool=1, name="+50 Сила атаки", min=165, max=277, mask=351535086 },
    { pool=1, name="+60 Сила атаки", min=165, max=285, mask=351535086 },
    { pool=1, name="+60 Сила атаки", min=210, max=300, mask=351535086 },
    { pool=1, name="+70 Сила атаки", min=187, max=300, mask=351535086 },
    { pool=1, name="+70 Сила атаки", min=225, max=300, mask=351535086 },
    { pool=1, name="+80 Сила атаки", min=194, max=315, mask=351535086 },
    { pool=1, name="+80 Сила атаки", min=225, max=300, mask=351535086 },
    { pool=1, name="+90 Сила атаки", min=204, max=325, mask=351535086 },
    { pool=1, name="+90 Сила атаки", min=225, max=300, mask=351535086 },
    { pool=1, name="+7 Крит. рейтинг", min=31, max=125, mask=351535086 },
    { pool=1, name="+3 Крит. рейтинг", min=1, max=30, mask=351535086 },
    { pool=1, name="+4 Мастерство", min=100, max=120, mask=351535086 },
    { pool=1, name="+8 Скорость", min=40, max=135, mask=351535086 },
    { pool=1, name="+16 Скорость", min=120, max=213, mask=351535086 },
    { pool=1, name="+4 Скорость", min=10, max=105, mask=351535086 },
    { pool=1, name="+6 Скорость", min=20, max=125, mask=351535086 },
    { pool=1, name="+6 Мастерство", min=120, max=213, mask=351535086 },
    { pool=1, name="+12 Проник. брониRating", min=140, max=170, mask=351535086 },
    { pool=1, name="+12 Мастерство", min=160, max=180, mask=351535086 },
    { pool=1, name="+12 Скорость", min=80, max=175, mask=351535086 },
    { pool=1, name="+16 Проник. брониRating", min=200, max=300, mask=351535086 },
    { pool=1, name="+16 Мастерство", min=200, max=220, mask=351535086 },
    { pool=1, name="+20 Мастерство", min=220, max=300, mask=351535086 },
    { pool=1, name="+20 Проник. брониRating", min=225, max=300, mask=351535086 },
    { pool=1, name="+20 Скорость", min=140, max=180, mask=351535086 },
    { pool=1, name="+14 Мастерство", min=180, max=200, mask=351535086 },
    { pool=1, name="+14 Проник. брониRating", min=170, max=200, mask=351535086 },
    { pool=1, name="+14 Скорость", min=100, max=120, mask=351535086 },
    { pool=1, name="+34 Скорость", min=220, max=300, mask=351535086 },
    { pool=1, name="+34 Проник. брониRating", min=225, max=300, mask=351535086 },
    { pool=1, name="+34 Мастерство", min=225, max=300, mask=351535086 },
    { pool=1, name="+130 Сила атаки", min=225, max=300, mask=351535086 },
    { pool=1, name="+4 Проник. брониRating", min=60, max=177, mask=351535086 },
    { pool=1, name="+8 Мастерство", min=140, max=160, mask=351535086 },
    { pool=1, name="+110 Сила атаки", min=204, max=325, mask=351535086 },
    { pool=1, name="+110 Сила атаки", min=225, max=300, mask=351535086 },
    { pool=1, name="+23 Скорость", min=180, max=220, mask=351535086 },
    { pool=1, name="+6 Проник. брониRating", min=80, max=185, mask=351535086 },
    { pool=1, name="+8 Проник. брониRating", min=120, max=213, mask=351535086 },
    { pool=2, name="+5 Рейтинг защиты", min=1, max=95, mask=351535086 },
    { pool=2, name="+1 Выносливость", min=1, max=20 },
    { pool=2, name="+2 Выносливость", min=10, max=30 },
    { pool=2, name="+3 Выносливость", min=20, max=40 },
    { pool=2, name="+4 Выносливость", min=30, max=50 },
    { pool=2, name="+5 Выносливость", min=40, max=60 },
    { pool=2, name="+6 Выносливость", min=50, max=70 },
    { pool=2, name="+7 Выносливость", min=60, max=80 },
    { pool=2, name="+2 Рейтинг защиты", min=1, max=76, mask=351535086 },
    { pool=2, name="+ 2 Рейтинг защиты", min=1, max=55, mask=351535086 },
    { pool=2, name="+3 Рейтинг защиты", min=17, max=115, mask=351535086 },
    { pool=2, name="+ 3 Рейтинг защиты", min=40, max=135, mask=351535086 },
    { pool=2, name="+4 Рейтинг защиты", min=44, max=145, mask=351535086 },
    { pool=2, name="+ 4 Рейтинг защиты", min=44, max=175, mask=351535086 },
    { pool=2, name="+7 Рейтинг защиты", min=17, max=115, mask=351535086 },
    { pool=2, name="+15 Здоровье", min=1, max=30, mask=351535086 },
    { pool=2, name="+32 Броня", min=1, max=76, mask=351535086 },
    { pool=2, name="+40 Броня", min=53, max=155, mask=351535086 },
    { pool=2, name="+36 Броня", min=17, max=115, mask=351535086 },
    { pool=2, name="+44 Броня", min=71, max=175, mask=351535086 },
    { pool=2, name="+48 Броня", min=88, max=195, mask=351535086 },
    { pool=2, name="+8 Выносливость", min=44, max=145, mask=351535086 },
    { pool=2, name="+9 Выносливость", min=53, max=155, mask=351535086 },
    { pool=2, name="+10 Выносливость", min=61, max=165, mask=351535086 },
    { pool=2, name="+11 Выносливость", min=71, max=175, mask=351535086 },
    { pool=2, name="+12 Выносливость", min=80, max=185, mask=351535086 },
    { pool=2, name="+60 Броня", min=40, max=115, mask=351535086 },
    { pool=2, name="+60 Броня", min=40, max=115, mask=351535086 },
    { pool=2, name="+13 Выносливость", min=88, max=195, mask=351535086 },
    { pool=2, name="+14 Выносливость", min=97, max=205, mask=351535086 },
    { pool=2, name="+5 Блокирование", min=53, max=155, mask=351535086 },
    { pool=2, name="+10 Блокирование", min=124, max=235, mask=351535086 },
    { pool=2, name="+50 Здоровье", min=30, max=125, mask=351535086 },
    { pool=2, name="+15 Выносливость", min=106, max=215, mask=351535086 },
    { pool=2, name="+16 Выносливость", min=115, max=225, mask=351535086 },
    { pool=2, name="+18 Выносливость", min=128, max=240, mask=351535086 },
    { pool=2, name="+20 Выносливость", min=141, max=255, mask=351535086 },
    { pool=2, name="+25 Выносливость", min=155, max=270, mask=351535086 },
    { pool=2, name="+30 Выносливость", min=165, max=285, mask=351535086 },
    { pool=2, name="+35 Выносливость", min=177, max=295, mask=351535086 },
    { pool=2, name="+40 Выносливость", min=187, max=305, mask=351535086 },
    { pool=2, name="+45 Выносливость", min=194, max=315, mask=351535086 },
    { pool=2, name="+100 Здоровье", min=60, max=177, mask=351535086 },
    { pool=2, name="+70 Броня", min=60, max=115, mask=351535086 },
    { pool=2, name="+70 Броня", min=60, max=115, mask=351535086 },
    { pool=2, name="+10 Рейтинг защиты", min=61, max=165, mask=351535086 },
    { pool=2, name="+ 10 Рейтинг защиты", min=61, max=155, mask=351535086 },
    { pool=2, name="+15 Рейтинг защиты", min=80, max=185, mask=351535086 },
    { pool=2, name="+ 15 Рейтинг защиты", min=110, max=213, mask=351535086 },
    { pool=2, name="+20 Рейтинг защиты", min=97, max=205, mask=351535086 },
    { pool=2, name="+ 20 Рейтинг защиты", min=125, max=225, mask=351535086 },
    { pool=2, name="+25 Рейтинг защиты", min=115, max=225, mask=351535086 },
    { pool=2, name="+ 25 Рейтинг защиты", min=150, max=277, mask=351535086 },
    { pool=2, name="+30 Рейтинг защиты", min=137, max=250, mask=351535086 },
    { pool=2, name="+ 30 Рейтинг защиты", min=175, max=277, mask=351535086 },
    { pool=2, name="+35 Рейтинг защиты", min=159, max=275, mask=351535086 },
    { pool=2, name="+ 35 Рейтинг защиты", min=200, max=300, mask=351535086 },
    { pool=2, name="+38 Рейтинг защиты", min=187, max=300, mask=351535086 },
    { pool=2, name="+ 38 Рейтинг защиты", min=213, max=300, mask=351535086 },
    { pool=2, name="+15 Блокирование", min=159, max=275, mask=351535086 },
    { pool=2, name="+20 Блокирование", min=194, max=315, mask=351535086 },
    { pool=2, name="+150 Здоровье", min=70, max=213, mask=351535086 },
    { pool=2, name="+120 Броня", min=121, max=213, mask=351535086 },
    { pool=2, name="+120 Броня", min=121, max=213, mask=351535086 },
    { pool=2, name="+4 Блокирование", min=17, max=115, mask=351535086 },
    { pool=2, name="+3 Блокирование", min=1, max=76, mask=351535086 },
    { pool=2, name="+170 Броня", min=159, max=225, mask=351535086 },
    { pool=2, name="+170 Броня", min=100, max=187, mask=351535086 },
    { pool=2, name="+240 Броня", min=187, max=325, mask=351535086 },
    { pool=2, name="+240 Броня", min=187, max=300, mask=351535086 },
    { pool=2, name="+225 Броня", min=200, max=250, mask=351535086 },
    { pool=2, name="+275 Здоровье", min=80, max=185, mask=351535086 },
    { pool=2, name="+6 Блокирование", min=88, max=195, mask=351535086 },
    { pool=2, name="+885 Броня", min=225, max=300, mask=351535086 },
    { pool=3, name="+6 Урон огнём", min=1, max=92 },
    { pool=3, name="+6 Урон льдом", min=1, max=92 },
    { pool=3, name="+6 Урон природой", min=1, max=92 },
    { pool=3, name="+6 Урон тьмой", min=1, max=92 },
    { pool=3, name="+6 Урон тайной магией", min=1, max=92 },
    { pool=3, name="+6 Урон светом", min=1, max=92 },
    { pool=3, name="+3 Дух", min=20, max=40 },
    { pool=3, name="+1 Интеллект", min=1, max=20 },
    { pool=3, name="+2 Интеллект", min=10, max=30 },
    { pool=3, name="+3 Интеллект", min=20, max=40 },
    { pool=3, name="+1 Дух", min=1, max=20 },
    { pool=3, name="+2 Дух", min=10, max=30 },
    { pool=3, name="+4 Интеллект", min=30, max=50 },
    { pool=3, name="+5 Интеллект", min=40, max=60 },
    { pool=3, name="+6 Интеллект", min=50, max=70 },
    { pool=3, name="+7 Интеллект", min=60, max=80 },
    { pool=3, name="+4 Дух", min=9, max=105, mask=351535086 },
    { pool=3, name="+4 Дух", min=30, max=50 },
    { pool=3, name="+5 Дух", min=40, max=60 },
    { pool=3, name="+6 Дух", min=50, max=70 },
    { pool=3, name="+7 Дух", min=60, max=80 },
    { pool=3, name="+1 Сила закл.", min=1, max=20 },
    { pool=3, name="+2 Сила закл.", min=10, max=30 },
    { pool=3, name="+4 Сила закл.", min=30, max=50 },
    { pool=3, name="+5 Сила закл.", min=40, max=60 },
    { pool=3, name="+6 Сила закл.", min=50, max=70 },
    { pool=3, name="+7 Сила закл.", min=60, max=80 },
    { pool=3, name="+8 SpellPower", min=44, max=145, mask=351535086 },
    { pool=3, name="+20 Мана", min=1, max=30, mask=351535086 },
    { pool=3, name="+8 Интеллект", min=44, max=145, mask=351535086 },
    { pool=3, name="+8 Дух", min=44, max=145, mask=351535086 },
    { pool=3, name="+9 Интеллект", min=53, max=155, mask=351535086 },
    { pool=3, name="+9 Дух", min=53, max=155, mask=351535086 },
    { pool=3, name="+10 Интеллект", min=61, max=165, mask=351535086 },
    { pool=3, name="+10 Дух", min=61, max=165, mask=351535086 },
    { pool=3, name="+11 Интеллект", min=71, max=175, mask=351535086 },
    { pool=3, name="+11 Дух", min=71, max=175, mask=351535086 },
    { pool=3, name="+12 Интеллект", min=80, max=185, mask=351535086 },
    { pool=3, name="+12 Дух", min=80, max=185, mask=351535086 },
    { pool=3, name="+13 Интеллект", min=88, max=195, mask=351535086 },
    { pool=3, name="+14 Интеллект", min=97, max=205, mask=351535086 },
    { pool=3, name="+13 Дух", min=88, max=195, mask=351535086 },
    { pool=3, name="+14 Дух", min=97, max=205, mask=351535086 },
    { pool=3, name="+30 Мана", min=30, max=125, mask=351535086 },
    { pool=3, name="+50 Мана", min=50, max=155, mask=351535086 },
    { pool=3, name="+65 Мана", min=60, max=177, mask=351535086 },
    { pool=3, name="+15 Интеллект", min=106, max=215, mask=351535086 },
    { pool=3, name="+16 Интеллект", min=115, max=225, mask=351535086 },
    { pool=3, name="+18 Интеллект", min=128, max=240, mask=351535086 },
    { pool=3, name="+20 Интеллект", min=141, max=255, mask=351535086 },
    { pool=3, name="+25 Интеллект", min=155, max=270, mask=351535086 },
    { pool=3, name="+30 Интеллект", min=165, max=285, mask=351535086 },
    { pool=3, name="+35 Интеллект", min=187, max=300, mask=351535086 },
    { pool=3, name="+40 Интеллект", min=194, max=315, mask=351535086 },
    { pool=3, name="+15 Дух", min=106, max=215, mask=351535086 },
    { pool=3, name="+16 Дух", min=115, max=225, mask=351535086 },
    { pool=3, name="+18 Дух", min=128, max=240, mask=351535086 },
    { pool=3, name="+20 Дух", min=141, max=255, mask=351535086 },
    { pool=3, name="+25 Дух", min=155, max=270, mask=351535086 },
    { pool=3, name="+30 Дух", min=165, max=285, mask=351535086 },
    { pool=3, name="+40 Дух", min=194, max=315, mask=351535086 },
    { pool=3, name="+35 Дух", min=187, max=300, mask=351535086 },
    { pool=3, name="+45 Интеллект", min=207, max=330, mask=351535086 },
    { pool=3, name="+46 Интеллект", min=221, max=345, mask=351535086 },
    { pool=3, name="+45 Дух", min=207, max=330, mask=351535086 },
    { pool=3, name="+46 Дух", min=221, max=345, mask=351535086 },
    { pool=3, name="+150 Мана", min=80, max=185, mask=351535086 },
    { pool=3, name="+100 Мана", min=70, max=213, mask=351535086 },
    { pool=3, name="+9 SpellPower", min=61, max=165, mask=351535086 },
    { pool=3, name="+11 SpellPower", min=80, max=185, mask=351535086 },
    { pool=3, name="+15 SpellPower", min=97, max=205, mask=351535086 },
    { pool=3, name="+18 SpellPower", min=115, max=225, mask=351535086 },
    { pool=3, name="+20 SpellPower", min=132, max=245, mask=351535086 },
    { pool=3, name="+25 SpellPower", min=150, max=265, mask=351535086 },
    { pool=3, name="+30 SpellPower", min=165, max=285, mask=351535086 },
    { pool=3, name="+35 SpellPower", min=187, max=305, mask=351535086 },
    { pool=3, name="+40 SpellPower", min=204, max=325, mask=351535086 },
    { pool=3, name="+44 SpellPower", min=212, max=335, mask=351535086 },
    { pool=3, name="+3 Сила закл.", min=20, max=40 },
    { pool=3, name="+54 SpellPower", min=221, max=345, mask=351535086 },
    { pool=3, name="+76 SpellPower", min=225, max=352, mask=351535086 },
    { pool=3, name="+63 SpellPower", min=225, max=352, mask=351535086 },
    { pool=3, name="+81 SpellPower", min=225, max=352, mask=351535086 },
    { pool=3, name="+69 SpellPower", min=225, max=352, mask=351535086 },
    { pool=4, name="+5% скорость передвижения", min=1, max=45, mask=7553004 },
    { pool=4, name="+8% скорость передвижения", min=46, max=92, mask=7553004 },
    { pool=4, name="Хождение по воде", min=1, max=92, mask=260 },
    { pool=4, name="+15% скорость плавания", min=1, max=92, mask=1280 },
    { pool=4, name="+3% скорость маунта", min=1, max=92, mask=201668 },
    { pool=4, name="Обнаружение невидимости", min=1, max=92, mask=514 },
    { pool=4, name="+6 сопротивления", min=1, max=25 },
    { pool=4, name="+10 сопротивления", min=26, max=65, mask=1138670 },
    { pool=4, name="+6 здоровье/5с", min=1, max=25 },
    { pool=4, name="+10 здоровье/5с", min=26, max=65, mask=1138670 },
    { pool=4, name="+2% угроза", min=1, max=92, mask=7553002 },
    { pool=4, name="+20 блокирование", min=1, max=45, mask=16384, cf=6 },
    { pool=4, name="+27 блокирование", min=46, max=92, mask=16384, cf=6 },
    { pool=4, name="+22 Сила атаки", min=1, max=25, mask=7569384 },
    { pool=4, name="+30 Сила атаки", min=26, max=45, mask=7569384 },
    { pool=4, name="+40 Сила атаки", min=46, max=65, mask=7569384 },
    { pool=4, name="-4% угроза", min=1, max=92, mask=7475178 },
    { pool=4, name="+11 Сила закл.", min=1, max=25 },
    { pool=4, name="+21 Сила закл.", min=26, max=45 },
    { pool=4, name="+35 Сила закл.", min=46, max=65 },
    { pool=4, name="+4 мана/5с", min=1, max=25 },
    { pool=4, name="+6 мана/5с", min=26, max=65 },
    { pool=4, name="+15 сопротивления", min=26, max=92 },
    { pool=4, name="+14 здоровье/5с", min=26, max=92 },
    { pool=4, name="+10% регенерация здоровья", min=1, max=92 },
    { pool=4, name="-10% длит. страха", min=46, max=92, mask=1122282 },
    { pool=4, name="-10% длит. оглушения", min=46, max=92, mask=1122282 },
    { pool=4, name="+10% репутация", min=1, max=92, mask=4265984 },
    { pool=4, name="Шипы (3 урона)", min=1, max=25, mask=6497928 },
    { pool=4, name="Шипы (18 урона)", min=26, max=45, mask=1132522, cf=4 },
    { pool=4, name="Шипы (25 урона)", min=46, max=92, mask=1132520, cf=4 },
    { pool=4, name="Замедленное падение", min=1, max=92, mask=65536 },
    { pool=4, name="1% Отражение заклинаний", min=66, max=92, mask=16384, cf=6 },
    { pool=4, name="+16 урон при ударе", min=1, max=45, cf=2 },
    { pool=4, name="Огненный удар", min=26, max=65, cf=2 },
    { pool=4, name="+26 урон при ударе", min=46, max=92, cf=2 },
    { pool=4, name="Огненное оружие", min=1, max=45, cf=2 },
    { pool=4, name="Похищение жизни", min=1, max=45, cf=2 },
    { pool=4, name="Леденящий холод", min=26, max=65, cf=2 },
    { pool=4, name="Нечестивое проклятие", min=26, max=65, cf=2 },
    { pool=4, name="Крестоносец", min=66, max=92, cf=2 },
    { pool=4, name="+43 Сила закл.", min=66, max=92 },
    { pool=4, name="+13 мана/5с", min=66, max=92 },
    { pool=4, name="+60 Сила атаки", min=66, max=92, mask=7569384 },
    { pool=4, name="+20 сопротивления", min=66, max=92, mask=1138670 },
    { pool=4, name="+16 здоровье/5с", min=66, max=92, mask=1138670 },
    { pool=4, name="+3 период. исцеление", min=1, max=92 },
    { pool=4, name="+5 урон при ударе по вам", min=1, max=25, mask=1132522, cf=4 },
    { pool=4, name="+5 урон ближ. боя", min=1, max=45, mask=6431752 },
    { pool=4, name="+7 урон ближ. боя", min=1, max=45, mask=6447104 },
    { pool=4, name="+3 здоровье/5с", min=1, max=25, mask=1138670 },
    { pool=4, name="+2 сопротивления", min=1, max=25, mask=1138670 },
    { pool=4, name="Оплот жизни", min=46, max=92, cf=2 },
    { pool=4, name="Смертельный мороз", min=46, max=92, cf=2 },
    { pool=4, name="Палач", min=66, max=92, cf=2 },
    { pool=4, name="Убийца великанов", min=46, max=65, cf=2 },
    { pool=4, name="Чародейский взрыв", min=46, max=92, cf=2 },
    { pool=4, name="Чародейский взрыв", min=1, max=25, cf=2 },
    { pool=4, name="Чародейский взрыв", min=26, max=45, cf=2 },
    { pool=4, name="Подводное дыхание", min=1, max=92, mask=4098 },
    { pool=4, name="Кольцо льда", min=26, max=45, cf=2 },
    { pool=4, name="Кольцо льда", min=46, max=65, cf=2 },
    { pool=4, name="Кольцо льда", min=66, max=92, cf=2 },
    { pool=4, name="Морозный доспех", min=26, max=92, mask=16384, cf=6 },
    { pool=4, name="Жертвенный огонь", min=1, max=25, mask=65536 },
    { pool=4, name="Жертвенный огонь", min=26, max=45, mask=65536 },
    { pool=4, name="Жертвенный огонь", min=46, max=65, mask=65536 },
    { pool=4, name="Жертвенный огонь", min=66, max=92, mask=65536 },
    { pool=4, name="Кровавый союз", min=1, max=25, mask=6144 },
    { pool=4, name="Кровавый союз", min=26, max=45, mask=6144 },
    { pool=4, name="Кровавый союз", min=46, max=65, mask=6144 },
    { pool=4, name="Кровавый союз", min=66, max=92, mask=6144 },
