"ID","Directory","InstanceType","Flags","PVP","MapName_Lang_enUS","MapName_Lang_enGB","MapName_Lang_koKR","MapName_Lang_frFR","MapName_Lang_deDE","MapName_Lang_enCN","MapName_Lang_zhCN","MapName_Lang_enTW","MapName_Lang_zhTW","MapName_Lang_esES","MapName_Lang_esMX","MapName_Lang_ruRU","MapName_Lang_ptPT","MapName_Lang_ptBR","MapName_Lang_itIT","MapName_Lang_Unk","MapName_Lang_Mask","AreaTableID","MapDescription0_Lang_enUS","MapDescription0_Lang_enGB","MapDescription0_Lang_koKR","MapDescription0_Lang_frFR","MapDescription0_Lang_deDE","MapDescription0_Lang_enCN","MapDescription0_Lang_zhCN","MapDescription0_Lang_enTW","MapDescription0_Lang_zhTW","MapDescription0_Lang_esES","MapDescription0_Lang_esMX","MapDescription0_Lang_ruRU","MapDescription0_Lang_ptPT","MapDescription0_Lang_ptBR","MapDescription0_Lang_itIT","MapDescription0_Lang_Unk","MapDescription0_Lang_Mask","MapDescription1_Lang_enUS","MapDescription1_Lang_enGB","MapDescription1_Lang_koKR","MapDescription1_Lang_frFR","MapDescription1_Lang_deDE","MapDescription1_Lang_enCN","MapDescription1_Lang_zhCN","MapDescription1_Lang_enTW","MapDescription1_Lang_zhTW","MapDescription1_Lang_esES","MapDescription1_Lang_esMX","MapDescription1_Lang_ruRU","MapDescription1_Lang_ptPT","MapDescription1_Lang_ptBR","MapDescription1_Lang_itIT","MapDescription1_Lang_Unk","MapDescription1_Lang_Mask","LoadingScreenID","MinimapIconScale","CorpseMapID","CorpseX","CorpseY","TimeOfDayOverride","ExpansionID","RaidOffset","MaxPlayers"
"209","TanarisInstance","1","0","0","","","","","","","","","Зул'Фаррак","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","146","1","1","-6790,577","-2891,278","-1","0","0","10"
"229","BlackRockSpire","1","0","0","","","","","","","","","Пик Черной горы","","","","","","","","16712190","1583","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","189","1","0","-7522,527","-1233,042","-1","0","0","10"
"230","BlackrockDepths","1","0","0","","","","","","","","","Глубины Черной горы","","","","","","","","16712190","1584","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","103","1","0","-7178,095","-928,6395","-1","0","0","5"
"249","OnyxiaLairInstance","2","0","0","","","","","","","","","Логово Ониксии","","","","","","","","16712190","2159","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","61","1","1","-4753,313","-3752,421","-1","0","0","40"
"269","CavernsOfTime","1","1","0","","","","","","","","","Открытие Темного портала","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","212","1","1","-8750,827","-4193,513","-1","1","0","5"
"289","SchoolofNecromancy","1","1","0","","","","","","","","","Некроситет","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","102","1","0","1274,781","-2552,564","-1","0","0","5"
"309","Zul'gurub","2","1","0","","","","","","","","","Зул'Гуруб","","","","","","","","16712190","1977","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","161","1","0","-11916,06","-1224,577","-1","0","68400","20"
"329","Stratholme","1","1","0","","","","","","","","","Стратхольм","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","101","1","0","3392,317","-3378,483","-1","0","0","5"
"349","Mauradon","1","1","0","","","","","","","","","Мародон","","","","","","","","16712190","2100","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","81","1","1","-1432,697","2924,978","-1","0","0","10"
"369","DeeprunTram","0","1","0","","","","","","","","","Подземный поезд","","","","","","","","16712190","2257","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","205","1","0","-8349,224","517,348","-1","0","0","0"
"389","OrgrimmarInstance","1","1","0","","","","","","","","","Огненная пропасть","","","","","","","","16712190","2437","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","195","1","1","1816,756","-4423,372","-1","0","0","10"
"409","MoltenCore","2","1","0","","","","","","","","","Огненные Недра","","","","","","","","16712190","2717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","192","1","0","-7510,565","-1036,698","-1","0","0","40"
"429","DireMaul","1","1","0","","","","","","","","","Забытый Город","","","","","","","","16712190","2557","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","82","1","1","-3908,032","1130,004","-1","0","0","5"
"449","AlliancePVPBarracks","0","1","0","","","","","","","","","Казармы Альянса","","","","","","","","16712190","2918","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","181","1","0","0","0","-1","0","0","0"
"450","HordePVPBarracks","0","1","0","","","","","","","","","Казармы Орды","","","","","","","","16712190","2917","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","182","1","0","0","0","-1","0","0","0"
"451","development","0","15","0","","","","","","","","","Зона разработчика","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","21","1","0","0","0","-1","2","0","0"
"469","BlackwingLair","2","1","0","","","","","","","","","Логово Крыла Тьмы","","","","","","","","16712190","2677","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","141","1","0","-7663,413","-1218,667","-1","0","0","40"
"489","PVPZone03","3","1","1","","","","","","","","","Ущелье Песни Войны","","","","","","","","16712190","3277","","","","","","","","","В Ущелье Песни Войны, разделяющем Степи и Ясеневый лес, не прекращается война между Ордой и Альянсом.Причиной конфликта стала лесопилка, построенная орками из клана Песни Войны, чтобы резать деревя, добытые в Ясеневом лесу, что вызвало неудовольствие у ночных эльфов с заставы Среброкрылых.Сейчас в Ущелье стекаются представители всех рас Азерота, желающие поддержать союзников мечом или магией.","","","","","","","","16712190","","","","","","","","","В Ущелье Песни Войны, разделяющем Степи и Ясеневый лес, не прекращается война между Ордой и Альянсом.Причиной конфликта стала лесопилка, построенная орками из клана Песни Войны, чтобы резать деревя, добытые в Ясеневом лесу, что вызвало неудовольствие у ночных эльфов с заставы Среброкрылых.Сейчас в Ущелье стекаются представители всех рас Азерота, желающие поддержать союзников мечом или магией.","","","","","","","","16712190","122","1","0","0","0","-1","0","0","0"
"509","AhnQiraj","2","1","0","","","","","","","","","Руины Ан'Киража","","","","","","","","16712190","3429","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","184","1","1","-8114,464","1526,366","-1","0","68400","20"
"529","PVPZone04","3","1","1","","","","","","","","","Низина Арати","","","","","","","","16712190","3358","","","","","","","","","Низина Арати стала местом крупнейшего столкновения между людьми и Отрекшимися.Элитные отряды Осквернителей стремятся отрезать людей от их южных союзников – дворфов, но Лига Аратора твердо намерена вернуть эти земли своим покровителям из Штормграда.","","","","","","","","16712190","","","","","","","","","Низина Арати стала местом крупнейшего столкновения между людьми и Отрекшимися.Лига Аратора твердо намерена вернуть эти земли своим покровителям из Штормграда, а элитные отряды Осквернителей стремятся отрезать людей от их южных союзников – дворфов.","","","","","","","","16712190","183","1,25","0","0","0","-1","0","0","0"
"530","Expansion01","0","1","0","","","","","","","","","Запределье","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","198","1","0","0","0","-1","1","0","0"
"531","AhnQirajTemple","2","0","0","","","","","","","","","Храм Ан'Киража","","","","","","","","16712190","3428","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","185","1","1","-8111,724","1526,786","-1","0","0","40"
"532","Karazahn","2","1","0","","","","","","","","","Каражан","","","","","","","","16712190","3457","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","200","1","0","-11110,41","-2004,065","-1","1","0","10"
"533","Stratholme Raid","2","0","0","","","","","","","","","Наксрамас","","","","","","","","16712190","3456","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","197","1","0","0","0","-1","2","0","25"
"534","HyjalPast","2","1","0","","","","","","","","","Битва за гору Хиджал","","","","","","","","16712190","616","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","212","1","1","-8178,508","-4182,05","-1","1","0","25"
"540","HellfireMilitary","1","1","0","","","","","","","","","Цитадель Адского Пламени: Разрушенные залы","","","","","","","","16712190","3714","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","199","1","530","-306,7582","3064,436","-1","1","0","5"
"542","HellfireDemon","1","1","0","","","","","","","","","Цитадель Адского Пламени: Кузня Крови","","","","","","","","16712190","3713","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","199","1","530","-295,4193","3151,993","-1","1","0","5"
"543","HellfireRampart","1","1","0","","","","","","","","","Цитадель Адского Пламени: Бастионы","","","","","","","","16712190","3562","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","199","1","530","-360,0499","3067,896","-1","1","0","5"
"544","HellfireRaid","2","1","0","","","","","","","","","Логово Магтеридона","","","","","","","","16712190","3836","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","208","1","530","-330,2339","3106,636","-1","1","0","25"
"545","CoilfangPumping","1","1","0","","","","","","","","","Кривой Клык: Паровое подземелье","","","","","","","","16712190","3715","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","207","1","530","764,2191","6915,08","-1","1","0","5"
"546","CoilfangMarsh","1","1","0","","","","","","","","","Кривой Клык: Нижетопь","","","","","","","","16712190","3716","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","207","1","530","764,6282","6768,073","-1","1","0","5"
"547","CoilfangDraenei","1","1","0","","","","","","","","","Кривой Клык: Узилище","","","","","","","","16712190","3717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","207","1","530","742,1582","7011,327","-1","1","0","5"
"548","CoilfangRaid","2","1","0","","","","","","","","","Кривой Клык: Змеиное святилище","","","","","","","","16712190","3607","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","207","1","530","775,7864","6865,243","-1","1","0","25"
"550","TempestKeepRaid","2","1","0","","","","","","","","","Крепость Бурь","","","","","","","","16712190","3845","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","206","1","0","0","0","-1","1","0","25"
"552","TempestKeepArcane","1","1","0","","","","","","","","","Крепость Бурь: Аркатрац","","","","","","","","16712190","3848","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","206","1","0","0","0","-1","1","0","5"
"553","TempestKeepAtrium","1","1","0","","","","","","","","","Крепость Бурь: Ботаника","","","","","","","","16712190","3847","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","206","1","0","0","0","-1","1","0","5"
"554","TempestKeepFactory","1","1","0","","","","","","","","","Крепость Бурь – Механар","","","","","","","","16712190","3849","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","206","1","0","0","0","-1","1","0","5"
"555","AuchindounShadow","1","1","0","","","","","","","","","Аукиндон: Темный лабиринт","","","","","","","","16712190","3789","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","201","1","530","-3640,688","4943,163","-1","1","0","5"
"556","AuchindounDemon","1","1","0","","","","","","","","","Аукиндон: Сетеккские залы","","","","","","","","16712190","3791","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","201","1","530","-3361,863","4665,592","-1","1","0","5"
"557","AuchindounEthereal","1","1","0","","","","","","","","","Аукиндон: Гробницы Маны","","","","","","","","16712190","3792","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","201","1","530","-3089,516","4942,756","-1","1","0","5"
"558","AuchindounDraenei","1","1","0","","","","","","","","","Аукиндон: Аукенайские гробницы","","","","","","","","16712190","3790","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","201","1","530","-3363,44","5156,455","-1","1","0","5"
"559","PVPZone05","4","1","0","","","","","","","","","Арена Награнда","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","219","1","0","0","0","-1","0","0","0"
"560","HillsbradPast","1","1","0","","","","","","","","","Побег из Дарнхольда","","","","","","","","16712190","267","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","212","1","1","-8309,81","-4061,509","-1","1","0","5"
"562","bladesedgearena","4","1","0","","","","","","","","","Арена Острогорья","","","","","","","","16712190","3702","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","218","1","0","0","0","-1","0","0","0"
"564","BlackTemple","2","1","0","","","","","","","","","Черный храм","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","215","1","530","-3644,527","317,2937","-1","1","0","25"
"565","GruulsLair","2","1","0","","","","","","","","","Логово Груула","","","","","","","","16712190","3923","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","213","1","530","3525,453","5144,151","-1","1","0","25"
"566","NetherstormBG","3","1","1","","","","","","","","","Око Бури","","","","","","","","16712190","0","","","","","","","","","Высоко над разоренными просторами Пустоверти находится остров Око Бури, за который ведут войну эльфы крови и дренеи.Первых туда привлекают богатые запасы энергии, а вторых – близость Крепости Бурь, таинственного корабля наару.","","","","","","","","16712190","","","","","","","","","Высоко над разоренными просторами Пустоверти находится остров Око Бури, за который ведут войну дренеи и эльфы крови.Первых туда привлекает близость Крепости Бурь, таинственного корабля наару, а вторых – богатые запасы энергии.","","","","","","","","16712190","210","1","0","0","0","-1","1","0","0"
"568","ZulAman","2","1","0","","","","","","","","","Зул'Аман","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","214","1","530","6851,021","-7989,713","-1","1","0","10"
"571","Northrend","0","29","0","","","","","","","","","Нордскол","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","216","1","0","0","0","-1","2","0","0"
"572","PVPLordaeron","4","1","0","","","","","","","","","Руины Лордерона","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","217","1","0","0","0","-1","0","0","0"
"573","ExteriorTest","0","15","0","","","","","","","","","ExteriorTest","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"574","Valgarde70","1","13","0","","","","","","","","","Крепость Утгард","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","220","1","571","1211,759","-4868,422","-1","2","0","5"
"575","UtgardePinnacle","1","13","0","","","","","","","","","Вершина Утгард","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","221","1","571","1232,41","-4860,954","-1","2","0","5"
"576","Nexus70","1","1","0","","","","","","","","","Нексус","","","","","","","","16712190","4265","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","226","1","571","3899,926","6985,436","-1","2","0","5"
"578","Nexus80","1","13","0","","","","","","","","","Окулус","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","227","1","571","3865,923","6983,94","-1","2","0","5"
"580","SunwellPlateau","2","1","0","","","","","","","","","Солнечный Колодец","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","225","1","530","12551,76","-6774,565","-1","1","0","25"
"582","Transport176244","0","1","0","","","","","","","","","Перевозка: из Рут'терана в Аубердин","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"584","Transport176231","0","1","0","","","","","","","","","Перевозка: из Менетила на Терамор","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"585","Sunwell5ManFix","1","13","0","","","","","","","","","Терраса Магистров","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","224","1","530","12881,9","-7343,095","-1","1","0","5"
"586","Transport181645","0","1","0","","","","","","","","","Перевозка: из Экзодара в Аубердин","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"587","Transport177233","0","1","0","","","","","","","","","Перевозка: Переправа Оперенной Луны","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"588","Transport176310","0","1","0","","","","","","","","","Перевозка: из Менетила в Аубердин","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"589","Transport175080","0","1","0","","","","","","","","","Перевозка: из Оргриммара в Гром'гол","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"590","Transport176495","0","1","0","","","","","","","","","Перевозка: из Гром'гола в Подгород","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"591","Transport164871","0","1","0","","","","","","","","","Перевозка: из Подгорода в Оргриммар","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"592","Transport186238","0","1","0","","","","","","","","","Перевозка: Борейская тундра (тест)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"593","Transport20808","0","1","0","","","","","","","","","Перевозка: из Пиратской Бухты в Кабестан","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"594","Transport187038","0","1","0","","","","","","","","","Перевозка: Сестры милосердия Ревущего фьорда (задание)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"595","StratholmeCOT","1","1","0","","","","","","","","","Очищение Стратхольма","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","222","1","1","-8756,087","-4457,418","-1","2","0","5"
"596","Transport187263","0","1","0","","","","","","","","","Перевозка: Нагльфар","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"597","CraigTest","0","15","0","","","","","","","","","Craig Test","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"598","Sunwell5Man","1","1","0","","","","","","","","","Солнечный Колодец стабилизированный (не используется)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","4","1","0","0","0","-1","1","0","5"
"599","Ulduar70","1","13","0","","","","","","","","","Чертоги Камня","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","230","1","571","8921,793","-966,8065","-1","2","0","5"
"600","DrakTheronKeep","1","13","0","","","","","","","","","Крепость Драк'Тарон","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","228","1","571","4774,583","-2023,049","-1","2","0","5"
"601","Azjol_Uppercity","1","13","0","","","","","","","","","Азжол-Неруб","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","229","1","571","3672,215","2171,275","-1","2","0","5"
"602","Ulduar80","1","13","0","","","","","","","","","Чертоги Молний","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","231","1","571","9185,088","-1386,791","-1","2","0","5"
"603","UlduarRaid","2","13","0","","","","","","","","","Ульдуар","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712190","244","1","571","9359,371","-1115,175","0","2","0","5"
"604","GunDrak","1","13","0","","","","","","","","","Гундрак","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","237","1","571","6708,731","-4654,904","-1","2","0","5"
