"ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","ItemID_1","ItemID_2","ItemID_3","ItemID_4","ItemID_5","ItemID_6","ItemID_7","ItemID_8","ItemID_9","ItemID_10","ItemID_11","ItemID_12","ItemID_13","ItemID_14","ItemID_15","ItemID_16","ItemID_17","SetSpellID_1","SetSpellID_2","SetSpellID_3","SetSpellID_4","SetSpellID_5","SetSpellID_6","SetSpellID_7","SetSpellID_8","SetThreshold_1","SetThreshold_2","SetThreshold_3","SetThreshold_4","SetThreshold_5","SetThreshold_6","SetThreshold_7","SetThreshold_8","RequiredSkill","RequiredSkillRank"
"143","","","","","","","","","Доспехи из кожи дьявозавра","","","","","","","","16712190","15062","15063","352951","352961","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39516","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"144","","","","","","","","","Железноперые доспехи","","","","","","","","16712190","15066","15067","352971","352981","0","0","0","0","0","0","0","0","0","0","0","0","0","41780","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"161","","","","","","","","","Кожаные доспехи Братства Справедливости","","","","","","","","16712190","10399","10403","10402","10401","10400","352331","352341","352342","352351","352352","352361","352362","352371","352372","0","0","0","41733","41732","41731","41730","0","0","0","0","5","3","2","4","0","0","0","0","0","0"
"162","","","","","","","","","Объятия гадюки","","","","","","","","16712190","10412","10411","10413","10410","6473","352231","352232","352381","352391","352392","352401","352402","352411","352412","0","0","0","41741","41644","41740","41739","0","0","0","0","5","4","2","3","0","0","0","0","0","0"
"163","","","","","","","","","Цепь Алого ордена","","","","","","","","16712190","10329","10332","10328","10331","10330","10333","352271","352281","352282","352291","352301","352302","352311","352321","352322","0","0","41686","41641","41685","41684","41683","0","0","0","2","3","4","5","6","0","0","0","0","0"
"181","","","","","","","","","Регалии Магистра","","","","","","","","16712190","16685","16683","16686","16684","16687","16689","16688","16682","353871","353881","353891","353901","353911","353921","353931","353941","0","0","0","0","0","29091","27867","41822","30777","0","0","0","0","2","6","8","4","0","0"
"182","","","","","","","","","Ризы Благочестия","","","","","","","","16712190","16696","16691","16697","16693","16692","16695","16694","16690","353951","353961","353971","353981","353991","354001","354011","354021","0","0","41881","27778","41880","41879","0","0","0","0","2","6","8","4","0","0","0","0","0"
"183","","","","","","","","","Одеяния Багрового Тумана","","","","","","","","16712190","16702","16703","16699","16701","16700","16704","16698","16705","354031","354041","354051","354061","354071","354081","354091","354101","0","0","0","41738","27780","41737","41736","0","0","0","0","2","6","8","4","0","0","0","0"
"184","","","","","","","","","Доспехи незаметности","","","","","","","","16712190","16713","16711","16710","16721","16708","16709","16712","16707","354121","354131","354141","354151","354161","354171","354181","354261","0","0","29096","27787","41836","41835","0","0","0","0","2","6","8","4","0","0","0","0","0"
"185","","","","","","","","","Облачение дикого сердца","","","","","","","","16712190","16716","16715","16714","16720","16706","16718","16719","16717","354111","354191","354201","354211","354221","354231","354241","354251","0","29097","27781","0","41893","41892","41891","0","0","2","6","0","8","4","4","0","0","0","0"
"186","","","","","","","","","Доспехи загонщика","","","","","","","","16712190","16680","16675","16681","16677","16674","16678","16679","16676","353791","353801","353811","353821","353831","353841","353851","353861","0","0","0","0","0","29094","27785","41668","30772","0","0","0","0","2","6","8","4","0","0"
"187","","","","","","","","","Стихии","","","","","","","","16712190","16673","16670","16671","16667","16672","16668","16669","16666","353711","353721","353731","353741","353751","353761","353771","353781","0","0","0","0","29095","27774","41857","41856","0","0","0","0","2","6","8","4","0","0","0"
"188","","","","","","","","","Доспехи Светлой стали","","","","","","","","16712190","16723","16725","16722","16726","16724","16728","16729","16727","354271","354281","354291","354301","354311","354321","354331","354341","0","0","29093","0","27498","41819","41818","0","0","0","2","0","6","8","4","0","0","0","0"
"189","","","","","","","","","Броня Доблести","","","","","","","","16712190","16736","16734","16735","16730","16737","16731","16732","16733","354351","354361","354371","354381","354391","354401","354411","354421","0","29092","27419","0","18679","30770","0","0","0","2","6","0","8","4","0","0","0","0","0"
"221","","","","","","","","","Одеяния Теро-шана","","","","","","","","16712190","7950","7948","7952","7951","7953","7949","352261","352262","0","0","0","0","0","0","0","0","0","41772","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0"
"281","","","","","","","","","Броня защитника","","","","","","","","16712190","16509","16510","16513","16515","16514","16516","353531","353541","353551","353561","353571","353581","0","0","0","0","0","41690","41653","22738","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"282","","","","","","","","","Броня лейтенанта-командора","","","","","","","","16712190","16405","16406","16430","16431","16429","16432","353071","353081","353271","353281","353291","353301","0","0","0","0","0","41793","41792","22738","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"301","","","","","","","","","Землекрушитель Защитника","","","","","","","","16712190","16519","16518","16522","16523","16521","16524","353591","353601","353611","353621","353631","353641","0","0","0","0","0","41693","41692","22804","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"321","","","","","","","","","Имперские латы","","","","","","","","16712190","12424","12426","12425","12422","12427","12429","12428","352461","352462","352471","352472","352481","352482","352491","352492","352501","352502","41779","41647","41778","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"341","","","","","","","","","Регалии Защитника","","","","","","","","16712190","16485","16487","16491","16490","16489","16492","353351","353361","353371","353381","353391","353401","0","0","0","0","0","41709","23025","41708","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"342","","","","","","","","","Одеяния Защитника","","","","","","","","16712190","17616","17617","17612","17611","17613","17610","354611","354621","354631","354641","354651","354661","0","0","0","0","0","41703","23044","41702","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"343","","","","","","","","","Регалии лейтенанта-командора","","","","","","","","16712190","16369","16391","16413","16414","16416","16415","352991","353001","353111","353121","353131","353141","0","0","0","0","0","41811","23025","41810","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"344","","","","","","","","","Одеяния лейтенанта-командора","","","","","","","","16712190","17594","17596","17600","17599","17598","17601","354551","354561","354571","354581","354591","354601","0","0","0","0","0","23044","41805","41804","0","0","0","0","0","4","2","6","0","0","0","0","0","0","0"
"345","","","","","","","","","Нити Защитника","","","","","","","","16712190","17576","17577","17572","17571","17570","17573","354491","354501","354511","354521","354531","354541","0","0","0","0","0","41715","41714","23047","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"346","","","","","","","","","Нити лейтенанта-командора","","","","","","","","16712190","17562","17564","17568","17567","17569","17566","354431","354441","354451","354461","354471","354481","0","0","0","0","0","41815","41814","23047","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"347","","","","","","","","","Одежды Защитника","","","","","","","","16712190","16498","16499","16505","16508","16506","16507","353431","353441","353491","353501","353511","353521","0","0","0","0","0","41717","41716","23048","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"348","","","","","","","","","Облачение лейтенанта-командора","","","","","","","","16712190","16392","16396","16417","16419","16420","16418","353011","353031","353151","353161","353171","353181","0","0","0","0","0","41817","23048","41816","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"361","","","","","","","","","Облачение Защитника","","","","","","","","16712190","16531","16530","16525","16527","16526","16528","353651","353661","353671","353681","353691","353701","0","0","0","0","0","41701","23158","41700","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"362","","","","","","","","","Облачение лейтенанта-командора","","","","","","","","16712190","16425","16426","16401","16403","16428","16427","353051","353061","353231","353241","353251","353261","0","0","0","0","0","41803","23158","41802","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"381","","","","","","","","","Снаряжение лейтенанта-командора","","","","","","","","16712190","16423","16424","16422","16421","16393","16397","353021","353041","353191","353201","353211","353221","0","0","0","0","0","41813","23218","41812","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"382","","","","","","","","","Снаряжение Защитника","","","","","","","","16712190","16494","16496","16504","16502","16503","16501","353411","353421","353451","353461","353471","353481","0","0","0","0","0","23218","41711","41710","0","0","0","0","0","4","2","6","0","0","0","0","0","0","0"
"401","","","","","","","","","Эгида лейтенанта-командора","","","","","","","","16712190","16410","16409","16433","16435","16434","16436","353091","353101","353311","353321","353331","353341","0","0","0","0","0","41787","41636","41786","23302","0","0","0","0","2","2","6","4","0","0","0","0","0","0"
"421","","","","","","","","","Одеяния кровавой лозы","","","","","","","","16712190","19682","19683","19684","354671","354681","354691","0","0","0","0","0","0","0","0","0","0","0","41676","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","197","300"
"441","","","","","","","","","Шкура древней летучей мыши","","","","","","","","16712190","19685","19687","19686","354701","354711","354721","0","0","0","0","0","0","0","0","0","0","0","24090","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","165","300"
"442","","","","","","","","","Доспехи кровавого тигра","","","","","","","","16712190","19688","19689","354731","354741","0","0","0","0","0","0","0","0","0","0","0","0","0","41670","41650","0","0","0","0","0","0","2","2","0","0","0","0","0","0","165","300"
"443","","","","","","","","","Объятия Кровавого Духа","","","","","","","","16712190","19690","19691","19692","354751","354761","354771","0","0","0","0","0","0","0","0","0","0","0","41675","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"444","","","","","","","","","Темная душа","","","","","","","","16712190","19693","19694","19695","354781","354791","354801","0","0","0","0","0","0","0","0","0","0","0","41847","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","164","300"
"462","","","","","","","","","Сосредоточение Занзила","","","","","","","","16712190","19893","19905","354831","354851","0","0","0","0","0","0","0","0","0","0","0","0","0","39702","41894","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"464","","","","","","","","","Решимость Властителя","","","","","","","","16712190","19873","19912","354821","354861","0","0","0","0","0","0","0","0","0","0","0","0","0","39880","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"465","","","","","","","","","Молитва Изначального","","","","","","","","16712190","19863","19920","354811","354871","0","0","0","0","0","0","0","0","0","0","0","0","0","41830","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"466","","","","","","","","","Великое вуду","","","","","","","","16712190","19898","19925","354841","354881","0","0","0","0","0","0","0","0","0","0","0","0","0","41823","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"467","","","","","","","","","Решимость горца","","","","","","","","16712190","20041","20048","20057","354891","354961","0","0","0","0","0","0","0","0","0","0","0","0","41868","39548","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"468","","","","","","","","","Твердость горца","","","","","","","","16712190","20042","20049","20058","354901","354971","0","0","0","0","0","0","0","0","0","0","0","0","41041","41640","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0"
"469","","","","","","","","","Решимость горца","","","","","","","","16712190","20043","20050","20055","354911","354981","0","0","0","0","0","0","0","0","0","0","0","0","41865","39418","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"470","","","","","","","","","Стойкость горца","","","","","","","","16712190","20044","20051","20056","354921","354991","0","0","0","0","0","0","0","0","0","0","0","0","39447","41638","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0"
"471","","","","","","","","","Цель горца","","","","","","","","16712190","20052","20045","20059","354931","355001","0","0","0","0","0","0","0","0","0","0","0","0","41867","39433","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"472","","","","","","","","","Воля горца","","","","","","","","16712190","20053","20046","20060","354941","355011","0","0","0","0","0","0","0","0","0","0","0","0","39420","41639","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0"
"473","","","","","","","","","Упорство горца","","","","","","","","16712190","20054","20047","20061","354951","355021","0","0","0","0","0","0","0","0","0","0","0","0","41866","39422","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"483","","","","","","","","","Решимость Осквернителя","","","","","","","","16712190","20158","20154","20150","355031","355041","0","0","0","0","0","0","0","0","0","0","0","0","41848","39884","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"484","","","","","","","","","Стойкость Осквернителя","","","","","","","","16712190","20195","20199","20203","355111","355121","0","0","0","0","0","0","0","0","0","0","0","0","41849","41643","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"485","","","","","","","","","Цель Осквернителя","","","","","","","","16712190","20176","20159","20163","355051","355061","0","0","0","0","0","0","0","0","0","0","0","0","41851","41850","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"486","","","","","","","","","Решимость Осквернителя","","","","","","","","16712190","20186","20190","20194","355091","355101","0","0","0","0","0","0","0","0","0","0","0","0","41852","39545","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"487","","","","","","","","","Решимость Осквернителя","","","","","","","","16712190","20204","20208","20212","355131","355141","0","0","0","0","0","0","0","0","0","0","0","0","41853","39486","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"488","","","","","","","","","Воля Осквернителя","","","","","","","","16712190","20167","20171","20175","355071","355081","0","0","0","0","0","0","0","0","0","0","0","0","41855","41854","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"489","","","","","","","","","Кольчуга Черного дракона","","","","","","","","16712190","16984","15050","15052","15051","352861","352871","352881","0","0","0","0","0","0","0","0","0","0","39510","39509","41669","0","0","0","0","0","2","3","4","0","0","0","0","0","0","0"
"490","","","","","","","","","Кольчуга Зеленого дракона","","","","","","","","16712190","15045","15046","20296","352821","352831","355161","0","0","0","0","0","0","0","0","0","0","0","41775","21894","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"491","","","","","","","","","Кольчужный доспех из чешуи синего дракона","","","","","","","","16712190","15048","20295","15049","352841","352851","355151","0","0","0","0","0","0","0","0","0","0","0","41677","41651","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"492","","","","","","","","","Сумеречное облачение","","","","","","","","16712190","20406","20408","20407","355171","355172","355181","355182","355191","355192","0","0","0","0","0","0","0","0","24746","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"511","","","","","","","","","Броня Героизма","","","","","","","","16712190","21994","21995","21996","21997","21998","21999","22000","22001","355231","355241","355251","355261","0","0","0","0","0","0","41649","41662","27419","41661","0","0","0","0","6","2","4","8","0","0","0","0","0"
"512","","","","","","","","","Доспехи Покрова тьмы","","","","","","","","16712190","22002","22003","22004","22005","22006","22007","22008","22009","355271","355281","355291","355301","0","0","0","0","0","0","41722","41721","27787","41720","0","0","0","0","6","2","4","8","0","0","0","0","0"
"513","","","","","","","","","Одеяния буйного сердца","","","","","","","","16712190","22106","22107","22108","22109","22110","22111","22112","22113","355551","355561","355571","355581","0","0","0","0","0","41752","41646","41751","0","27781","41750","0","0","6","6","2","0","4","8","0","0","0","0"
"514","","","","","","","","","Ризы Добродетели","","","","","","","","16712190","22078","22079","22080","22081","22082","22083","22084","22085","355431","355441","355451","355461","0","0","0","0","0","0","41884","41883","27778","41882","0","0","0","0","6","2","4","8","0","0","0","0","0"
"515","","","","","","","","","Доспехи Повелителя зверей","","","","","","","","16712190","22010","22011","22061","22013","22015","22016","22017","22060","355311","355321","355331","355341","0","0","0","0","0","0","0","0","0","41667","41666","27785","41665","0","0","0","0","6","2","4","8","0","0"
"516","","","","","","","","","Доспехи Закаленного духа","","","","","","","","16712190","22086","22087","22088","22089","22090","22091","22092","22093","355471","355481","355491","355501","0","0","0","0","0","0","41844","41843","27498","41842","0","0","0","0","6","2","4","8","0","0","0","0","0"
"517","","","","","","","","","Регалии чародея","","","","","","","","16712190","22062","22063","22064","22065","22066","22067","22068","22069","355351","355361","355371","355381","0","0","0","0","0","0","0","0","41840","27867","41839","32451","0","0","0","0","8","4","2","6","0","0","0"
"518","","","","","","","","","Одеяния тумана смерти","","","","","","","","16712190","22070","22071","22072","22073","22074","22075","22076","22077","355391","355401","355411","355421","0","0","0","0","0","0","0","41729","41728","27780","41727","0","0","0","0","6","2","4","8","0","0","0","0"
"519","","","","","","","","","Пять Громов","","","","","","","","16712190","22095","22096","22097","22098","22099","22100","22101","22102","355511","355521","355531","355541","0","0","0","0","0","0","0","0","41860","41859","27774","41858","0","0","0","0","6","2","4","8","0","0","0"
"520","","","","","","","","","Железнотканые доспехи","","","","","","","","16712190","22306","22311","22313","22302","22304","22305","22303","22301","355591","355601","355611","355621","355631","355641","355651","355661","0","27733","41781","0","0","0","0","0","0","4","8","0","0","0","0","0","0","0","0"
"522","","","","","","","","","Стража Защитника","","","","","","","","16712190","22864","22856","22879","22880","23257","23258","355701","355771","355901","355911","356191","356201","0","0","0","0","0","41695","23048","41694","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"533","","","","","","","","","Броня истребления нежити","","","","","","","","16712190","23090","23087","23078","355991","356041","356071","0","0","0","0","0","0","0","0","0","0","0","29068","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"534","","","","","","","","","Доспехи истребителя нежити","","","","","","","","16712190","23081","23089","23093","356001","356061","356101","0","0","0","0","0","0","0","0","0","0","0","29068","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"535","","","","","","","","","Облачение Истребителя нежити","","","","","","","","16712190","23088","23082","23092","356011","356051","356091","0","0","0","0","0","0","0","0","0","0","0","29068","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"536","","","","","","","","","Регалии Зачистки Нежити","","","","","","","","16712190","23091","23084","23085","356021","356031","356081","0","0","0","0","0","0","0","0","0","0","0","29068","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"537","","","","","","","","","Латы Защитника","","","","","","","","16712190","22868","22858","22872","22873","23244","23243","355721","355801","355831","355841","356111","356121","0","0","0","0","0","41689","22738","41688","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"538","","","","","","","","","Зов Бури Защитника","","","","","","","","16712190","22857","22867","22876","22887","23259","23260","355711","355791","355871","355981","356211","356221","0","0","0","0","0","41713","22804","41712","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"539","","","","","","","","","Спасение Защитника","","","","","","","","16712190","22863","22852","22877","22878","23253","23254","355681","355761","355881","355891","356151","356161","0","0","0","0","0","41707","23218","41706","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"540","","","","","","","","","Убор Защитника","","","","","","","","16712190","22869","22859","22882","22885","23261","23262","355731","355811","355931","355961","356231","356241","0","0","0","0","0","41697","23044","41696","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"541","","","","","","","","","Грозные доспехи Защитника","","","","","","","","16712190","22865","22855","23255","23256","22881","22884","355691","355781","355921","355951","356171","356181","0","0","0","0","0","41691","41654","23047","0","0","0","0","0","6","2","4","0","0","0","0","0","0","0"
"542","","","","","","","","","Тайна Защитника","","","","","","","","16712190","22870","22860","23263","23264","22883","22886","355741","355821","355941","355971","356251","356261","0","0","0","0","0","41687","41652","23025","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"543","","","","","","","","","Упорство Защитника","","","","","","","","16712190","22843","22862","23251","23252","22874","22875","355671","355751","355851","355861","356131","356141","0","0","0","0","0","23158","41699","41698","0","0","0","0","0","4","6","2","0","0","0","0","0","0","0"
"544","","","","","","","","","Оплот лейтенанта-командора","","","","","","","","16712190","23272","23273","23274","23275","23276","23277","356271","356281","356291","356301","356311","356321","0","0","0","0","0","41807","41806","23302","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"545","","","","","","","","","Боевые доспехи лейтенанта-командора","","","","","","","","16712190","23300","23301","23286","23287","23314","23315","356411","356421","356551","356561","356691","356701","0","0","0","0","0","22738","41791","41790","0","0","0","0","0","4","6","2","0","0","0","0","0","0","0"
"546","","","","","","","","","Тайна лейтенанта-командора","","","","","","","","16712190","23304","23305","23290","23291","23318","23319","356451","356461","356591","356601","356731","356741","0","0","0","0","0","41789","41788","23025","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"547","","","","","","","","","Грозные доспехи лейтенанта-командора","","","","","","","","16712190","23296","23297","23282","23283","23310","23311","356371","356381","356511","356521","356651","356661","0","0","0","0","0","41795","41794","23047","0","0","0","0","0","2","6","4","0","0","0","0","0","0","0"
"548","","","","","","","","","Стража лейтенанта-командора","","","","","","","","16712190","23298","23299","23284","23285","23312","23313","356391","356401","356531","356541","356671","356681","0","0","0","0","0","23048","41797","41796","0","0","0","0","0","4","6","2","0","0","0","0","0","0","0"
"549","","","","","","","","","Убор лейтенанта-командора","","","","","","","","16712190","23302","23303","23288","23289","23316","23317","356431","356441","356571","356581","356711","356721","0","0","0","0","0","41799","23044","41798","0","0","0","0","0","2","4","6","0","0","0","0","0","0","0"
"550","","","","","","","","","Упорство лейтенанта-командора","","","","","","","","16712190","23292","23293","23278","23279","23306","23307","356331","356341","356471","356481","356611","356621","0","0","0","0","0","41801","41800","23158","0","0","0","0","0","6","2","4","0","0","0","0","0","0","0"
"551","","","","","","","","","Защита лейтенанта-командора","","","","","","","","16712190","23294","23295","23280","23281","23308","23309","356351","356361","356491","356501","356631","356641","0","0","0","0","0","41809","23218","41808","0","0","0","0","0","6","4","2","0","0","0","0","0","0","0"
"561","","","","","","","","","Кольчуга из оскверненного железа","","","","","","","","16712190","23490","23491","23493","23494","356761","356762","0","0","0","0","0","0","0","0","0","0","0","41562","41561","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0"
"761","","","","","","","","","Зимний наряд","","","","","","","","16712190","34087","21525","34085","21524","34086","355211","355212","355221","355222","0","0","0","0","0","0","0","0","55000","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"785","","","","","","","","","Гуляка с праздника солнцеворота","","","","","","","","16712190","23324","34685","34683","356751","356752","356753","0","0","0","0","0","0","0","0","0","0","0","58933","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"812","","","","","","","","","Весенний наряд","","","","","","","","16712190","6835","6833","352241","352242","352243","352251","352252","352253","0","0","0","0","0","0","0","0","0","62181","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
