"ID","Condition_ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Name1_Lang_enUS","Name1_Lang_enGB","Name1_Lang_koKR","Name1_Lang_frFR","Name1_Lang_deDE","Name1_Lang_enCN","Name1_Lang_zhCN","Name1_Lang_enTW","Name1_Lang_zhTW","Name1_Lang_esES","Name1_Lang_esMX","Name1_Lang_ruRU","Name1_Lang_ptPT","Name1_Lang_ptBR","Name1_Lang_itIT","Name1_Lang_Unk","Name1_Lang_Mask","Mask_ID"
"53","6686","","","","","","","","","%s, защитник Наару","","","","","","","","16712190","","","","","","","","","%s, защитница Наару","","","","","","","","16712190","36"
"62","0","","","","","","","","","Безжалостный гладиатор %s","","","","","","","","16712190","","","","","","","","","Безжалостный гладиатор %s","","","","","","","","16712190","37"
"63","6806","","","","","","","","","%s из Расколотого Солнца","","","","","","","","16712190","","","","","","","","","%s из Расколотого Солнца","","","","","","","","16712190","38"
"64","6944","","","","","","","","","%s, Длань А'дала","","","","","","","","16712190","","","","","","","","","%s, Длань А'дала","","","","","","","","16712190","39"
"71","0","","","","","","","","","Мстительный гладиатор %s","","","","","","","","16712190","","","","","","","","","Мстительный гладиатор %s","","","","","","","","16712190","40"
"72","7530","","","","","","","","","Военачальник %s","","","","","","","","16712190","","","","","","","","","Военачальник %s","","","","","","","","16712190","41"
"74","7533","","","","","","","","","Премудрый %s","","","","","","","","16712190","","","","","","","","","Премудрая %s","","","","","","","","16712190","43"
"75","7534","","","","","","","","","Страж огня %s","","","","","","","","16712190","","","","","","","","","Страж огня %s","","","","","","","","16712190","44"
"76","7535","","","","","","","","","Хранитель огня %s","","","","","","","","16712190","","","","","","","","","Хранительница огня %s","","","","","","","","16712190","45"
"77","7565","","","","","","","","","%s Превозносимый","","","","","","","","16712190","","","","","","","","","%s Превозносимая","","","","","","","","16712190","46"
"78","7695","","","","","","","","","Исследователь %s","","","","","","","","16712190","","","","","","","","","Исследовательница %s","","","","","","","","16712190","47"
"79","7748","","","","","","","","","Дипломат %s","","","","","","","","16712190","","","","","","","","","Дипломат %s","","","","","","","","16712190","48"
"80","0","","","","","","","","","Жестокий гладиатор %s","","","","","","","","16712190","","","","","","","","","Жестокий гладиатор %s","","","","","","","","16712190","49"
"81","7759","","","","","","","","","Искатель %s","","","","","","","","16712190","","","","","","","","","Искательница %s","","","","","","","","16712190","42"
"82","7749","","","","","","","","","Повелитель арены %s","","","","","","","","16712190","","","","","","","","","Повелительница арены %s","","","","","","","","16712190","50"
"83","7750","","","","","","","","","Морской дьявол %s","","","","","","","","16712190","","","","","","","","","Морской дьявол %s","","","","","","","","16712190","51"
"84","7754","","","","","","","","","Шеф-повар %s","","","","","","","","16712190","","","","","","","","","Шеф-повар %s","","","","","","","","16712190","52"
"85","7703","","","","","","","","","%s Первейший","","","","","","","","16712190","","","","","","","","","%s Первейшая","","","","","","","","16712190","53"
"86","7703","","","","","","","","","%s, повелитель штормов","","","","","","","","16712190","","","","","","","","","%s, повелительница штормов","","","","","","","","16712190","54"
"87","7703","","","","","","","","","Изумрудный Сновидец %s","","","","","","","","16712190","","","","","","","","","Изумрудная Сновидица %s","","","","","","","","16712190","55"
"89","7703","","","","","","","","","Пророк %s","","","","","","","","16712190","","","","","","","","","Пророчица %s","","","","","","","","16712190","57"
"90","7703","","","","","","","","","%s Тлетворный","","","","","","","","16712190","","","","","","","","","%s Тлетворная","","","","","","","","16712190","58"
"91","7703","","","","","","","","","Ловчий %s","","","","","","","","16712190","","","","","","","","","Ловчий %s","","","","","","","","16712190","59"
"92","7703","","","","","","","","","%s из Черного Клинка","","","","","","","","16712190","","","","","","","","","%s из Черного Клинка","","","","","","","","16712190","60"
"93","7703","","","","","","","","","Верховный маг %s","","","","","","","","16712190","","","","","","","","","Верховный маг %s","","","","","","","","16712190","61"
"94","7703","","","","","","","","","Вестник войны %s","","","","","","","","16712190","","","","","","","","","Вестница войны %s","","","","","","","","16712190","62"
"95","7703","","","","","","","","","Ассасин %s","","","","","","","","16712190","","","","","","","","","Ассасин %s","","","","","","","","16712190","63"
"96","7703","","","","","","","","","Великий алхимик %s","","","","","","","","16712190","","","","","","","","","Великий алхимик %s","","","","","","","","16712190","64"
"97","7703","","","","","","","","","Великий кузнец %s","","","","","","","","16712190","","","","","","","","","Великий кузнец %s","","","","","","","","16712190","65"
"98","7703","","","","","","","","","Великий шеф-повар %s","","","","","","","","16712190","","","","","","","","","Великий шеф-повар %s","","","","","","","","16712190","66"
"99","7703","","","","","","","","","Великий зачаровыватель %s","","","","","","","","16712190","","","","","","","","","Великая зачаровывательница %s","","","","","","","","16712190","67"
"100","7703","","","","","","","","","Великий инженер %s","","","","","","","","16712190","","","","","","","","","Великий инженер %s","","","","","","","","16712190","68"
"101","7703","","","","","","","","","Доктор %s","","","","","","","","16712190","","","","","","","","","Доктор %s","","","","","","","","16712190","69"
"102","7703","","","","","","","","","Великий рыболов %s","","","","","","","","16712190","","","","","","","","","Великий рыболов %s","","","","","","","","16712190","70"
"103","7703","","","","","","","","","Великий травник %s","","","","","","","","16712190","","","","","","","","","Великая травница %s","","","","","","","","16712190","71"
"104","7703","","","","","","","","","Великий начертатель %s","","","","","","","","16712190","","","","","","","","","Великая начертательница %s","","","","","","","","16712190","72"
"105","7703","","","","","","","","","Великий ювелир %s","","","","","","","","16712190","","","","","","","","","Великий ювелир %s","","","","","","","","16712190","73"
"106","7703","","","","","","","","","Великий кожевник %s","","","","","","","","16712190","","","","","","","","","Великая кожевница %s","","","","","","","","16712190","74"
"107","7703","","","","","","","","","Великий мастер горного дела %s","","","","","","","","16712190","","","","","","","","","Великий мастер горного дела %s","","","","","","","","16712190","75"
"108","7703","","","","","","","","","Великий мастер снятия шкур %s","","","","","","","","16712190","","","","","","","","","Великий мастер снятия шкур %s","","","","","","","","16712190","76"
"109","7703","","","","","","","","","Великий портной %s","","","","","","","","16712190","","","","","","","","","Великий портной %s","","","","","","","","16712190","77"
"110","7703","","","","","","","","","%s, сын Кель'Таласа","","","","","","","","16712190","","","","","","","","","%s, дочь Кель'Таласа","","","","","","","","16712190","78"
"111","7703","","","","","","","","","%s, сын Аргуса","","","","","","","","16712190","","","","","","","","","%s, дочь Аргуса","","","","","","","","16712190","79"
"112","7703","","","","","","","","","%s, сын Каз Модана","","","","","","","","16712190","","","","","","","","","%s, дочь Каз Модана","","","","","","","","16712190","80"
"113","8236","","","","","","","","","%s Гномреганский","","","","","","","","16712190","","","","","","","","","%s Гномреганская","","","","","","","","16712190","81"
"114","7703","","","","","","","","","%s Львиное Сердце","","","","","","","","16712190","","","","","","","","","%s Львиное Сердце","","","","","","","","16712190","82"
"115","7703","","","","","","","","","%s, защитник Элуны","","","","","","","","16712190","","","","","","","","","%s, защитница Элуны","","","","","","","","16712190","83"
"116","7703","","","","","","","","","%s, герой Оргриммара","","","","","","","","16712190","","","","","","","","","%s, героиня Оргриммара","","","","","","","","16712190","84"
"117","7703","","","","","","","","","%s, хозяин лугов","","","","","","","","16712190","","","","","","","","","%s, хозяйка лугов","","","","","","","","16712190","85"
"118","7703","","","","","","","","","%s из Черного Копья","","","","","","","","16712190","","","","","","","","","%s из Черного Копья","","","","","","","","16712190","86"
"119","7703","","","","","","","","","%s Отрекшийся","","","","","","","","16712190","","","","","","","","","%s Отрекшаяся","","","","","","","","16712190","87"
"120","7812","","","","","","","","","%s, искатель магии","","","","","","","","16712190","","","","","","","","","%s, искательница магии","","","","","","","","16712190","88"
"121","7813","","","","","","","","","%s, покоритель сумрака","","","","","","","","16712190","","","","","","","","","%s, покорительница сумрака","","","","","","","","16712190","89"
"122","7814","","","","","","","","","%s, Завоеватель Наксрамаса","","","","","","","","16712190","","","","","","","","","%s, Завоевательница Наксрамаса","","","","","","","","16712190","90"
"123","7815","","","","","","","","","%s, Герой Нордскола","","","","","","","","16712190","","","","","","","","","%s, Герой Нордскола","","","","","","","","16712190","91"
"124","7820","","","","","","","","","Тыквер %s","","","","","","","","16712190","","","","","","","","","Тыквер %s","","","","","","","","16712190","92"
"125","7849","","","","","","","","","Хранитель мудрости %s","","","","","","","","16712190","","","","","","","","","Хранительница мудрости %s","","","","","","","","16712190","93"
"126","7853","","","","","","","","","%s, сын Альянса","","","","","","","","16712190","","","","","","","","","%s, дочь Альянса","","","","","","","","16712190","94"
"127","7854","","","","","","","","","%s, сын Орды","","","","","","","","16712190","","","","","","","","","%s, дочь Орды","","","","","","","","16712190","95"
"128","7856","","","","","","","","","%s Всепобеждающий","","","","","","","","16712190","","","","","","","","","%s Всепобеждающая","","","","","","","","16712190","96"
"129","7857","","","","","","","","","%s, защитник ледяных пустошей","","","","","","","","16712190","","","","","","","","","%s, защитница ледяных пустошей","","","","","","","","16712190","97"
"130","7858","","","","","","","","","Посланник %s","","","","","","","","16712190","","","","","","","","","Посланница %s","","","","","","","","16712190","98"
"131","7859","","","","","","","","","%s, Серебряный защитник","","","","","","","","16712190","","","","","","","","","%s, Серебряная защитница","","","","","","","","16712190","99"
"132","7860","","","","","","","","","%s, защитник Кенария","","","","","","","","16712190","","","","","","","","","%s, защитница Кенария","","","","","","","","16712190","100"
"133","7861","","","","","","","","","Хмелевар %s","","","","","","","","16712190","","","","","","","","","Хмелевар %s","","","","","","","","16712190","101"
"134","7864","","","","","","","","","Весельчак %s","","","","","","","","16712190","","","","","","","","","Хохотушка %s","","","","","","","","16712190","102"
"135","7875","","","","","","","","","Безумно влюбленный %s","","","","","","","","16712190","","","","","","","","","Безумно влюбленная %s","","","","","","","","16712190","103"
"137","7893","","","","","","","","","Благодетельница %s","","","","","","","","16712190","","","","","","","","","Благодетельница %s","","","","","","","","16712190","104"
"138","7894","","","","","","","","","Благодетель %s","","","","","","","","16712190","","","","","","","","","Благодетель %s","","","","","","","","16712190","105"
"139","7964","","","","","","","","","Покоритель Обсидианового святилища %s","","","","","","","","16712190","","","","","","","","","Покорительница Обсидианового святилища %s","","","","","","","","16712190","106"
"140","7965","","","","","","","","","Сумеречный %s","","","","","","","","16712190","","","","","","","","","Сумеречная %s","","","","","","","","16712190","107"
"141","7990","","","","","","","","","%s Бессмертный","","","","","","","","16712190","","","","","","","","","%s Бессмертная","","","","","","","","16712190","108"
"142","7991","","","","","","","","","Неумирающий %s","","","","","","","","16712190","","","","","","","","","Неумирающая %s","","","","","","","","16712190","109"
"143","7997","","","","","","","","","%s Дженкинс","","","","","","","","16712190","","","","","","","","","%s Дженкинс","","","","","","","","16712190","110"
"144","8045","","","","","","","","","Адмирал Кровавого Паруса %s","","","","","","","","16712190","","","","","","","","","Адмирал Кровавого Паруса %s","","","","","","","","16712190","111"
"145","8121","","","","","","","","","%s Чокнутый","","","","","","","","16712190","","","","","","","","","%s Чокнутая","","","","","","","","16712190","112"
"146","8237","","","","","","","","","%s Экзодарский","","","","","","","","16712190","","","","","","","","","%s Экзодарская","","","","","","","","16712190","113"
"147","8238","","","","","","","","","%s Дарнасский","","","","","","","","16712190","","","","","","","","","%s Дарнасская","","","","","","","","16712190","114"
"148","8239","","","","","","","","","%s Стальгорнский","","","","","","","","16712190","","","","","","","","","%s Стальгорнская","","","","","","","","16712190","115"
"149","8240","","","","","","","","","%s Штормградский","","","","","","","","16712190","","","","","","","","","%s Штормградская","","","","","","","","16712190","116"
"150","8241","","","","","","","","","%s Оргриммарский","","","","","","","","16712190","","","","","","","","","%s Оргриммарская","","","","","","","","16712190","117"
"151","8242","","","","","","","","","%s Сен'джинский","","","","","","","","16712190","","","","","","","","","%s Сен'джинская","","","","","","","","16712190","118"
"152","8243","","","","","","","","","%s из Луносвета","","","","","","","","16712190","","","","","","","","","%s из Луносвета","","","","","","","","16712190","119"
"153","8244","","","","","","","","","%s из Громового Утеса","","","","","","","","16712190","","","","","","","","","%s из Громового Утеса","","","","","","","","16712190","120"
"154","8245","","","","","","","","","%s из Подгорода","","","","","","","","16712190","","","","","","","","","%s из Подгорода","","","","","","","","16712190","121"
"155","8303","","","","","","","","","Чудесный %s","","","","","","","","16712190","","","","","","","","","Чудесная %s","","","","","","","","16712190","122"
"156","8332","","","","","","","","","Крестоносец %s","","","","","","","","16712190","","","","","","","","","Крестоносец %s","","","","","","","","16712190","123"
"157","0","","","","","","","","","Смертоносный гладиатор %s","","","","","","","","16712190","","","","","","","","","Смертоносный гладиатор %s","","","","","","","","16712190","56"
"158","8450","","","","","","","","","%s, победивший смерть","","","","","","","","16712190","","","","","","","","","%s, победившая смерть","","","","","","","","16712190","124"
"159","8451","","","","","","","","","%s, небесный заступник","","","","","","","","16712190","","","","","","","","","%s, небесная заступница","","","","","","","","16712190","125"
"160","8453","","","","","","","","","%s, завоеватель Ульдуара","","","","","","","","16712190","","","","","","","","","%s, завоевательница Ульдуара","","","","","","","","16712190","126"
"161","8452","","","","","","","","","%s, защитник Ульдуара","","","","","","","","16712190","","","","","","","","","%s, защитница Ульдуара","","","","","","","","16712190","127"
"163","0","","","","","","","","","Покоритель %s","","","","","","","","16712190","","","","","","","","","Покорительница %s","","","","","","","","16712190","128"
"164","8467","","","","","","","","","%s, говорящий со звездами","","","","","","","","16712190","","","","","","","","","%s, говорящая со звездами","","","","","","","","16712190","129"
"165","8468","","","","","","","","","%s, звездный странник","","","","","","","","16712190","","","","","","","","","%s, звездная странница","","","","","","","","16712190","130"
"166","8469","","","","","","","","","%s, посланник титанов","","","","","","","","16712190","","","","","","","","","%s, посланница титанов","","","","","","","","16712190","131"
"167","0","","","","","","","","","Гневный гладиатор %s","","","","","","","","16712190","","","","","","","","","Гневный гладиатор %s","","","","","","","","16712190","132"
"168","8596","","","","","","","","","Странник %s","","","","","","","","16712190","","","","","","","","","Странница %s","","","","","","","","16712190","133"
"169","0","","","","","","","","","Неумолимый гладиатор %s","","","","","","","","16712190","","","","","","","","","Неумолимый гладиатор %s","","","","","","","","16712190","134"
"170","8777","","","","","","","","","Великий крестоносец %s","","","","","","","","16712190","","","","","","","","","Великий крестоносец %s","","","","","","","","16712190","135"
"171","8778","","","","","","","","","%s, Серебряный заступник","","","","","","","","16712190","","","","","","","","","%s, Серебряная заступница","","","","","","","","16712190","136"
"172","8977","","","","","","","","","%s Терпеливый","","","","","","","","16712190","","","","","","","","","%s Терпеливая","","","","","","","","16712190","137"
"173","9043","","","","","","","","","%s, Сияние Рассвета","","","","","","","","16712190","","","","","","","","","%s, Сияние Рассвета","","","","","","","","16712190","138"
"174","9045","","","","","","","","","%s, победивший падшего Короля","","","","","","","","16712190","","","","","","","","","%s, победившая падшего Короля","","","","","","","","16712190","139"
"175","9046","","","","","","","","","%s, свергнувший Короля","","","","","","","","16712190","","","","","","","","","%s, свергнувшая Короля","","","","","","","","16712190","140"
"176","9138","","","","","","","","","%s из Пепельного союза","","","","","","","","16712190","","","","","","","","","%s из Пепельного союза","","","","","","","","16712190","141"
"177","0","","","","","","","","","Разгневанный гладиатор %s","","","","","","","","16712190","","","","","","","","","Разгневанный гладиатор %s","","","","","","","","16712190","142"
